n_vehicles,to_stop_I,route_type,from_stop_I,duration_avg,route_I_counts,BUS,FERRY,id,stop_I,name,lon_bus,lat_bus,lon_ferry,lat_ferry,stop_lon,stop_lat
63,1712,3,2420,59.04761904761905,"{'360': 2, '358': 6, '636': 1, '550': 1, '359': 1, '352': 15, '354': 21, '356': 6, '549': 1, '370': 7, '355': 2}",1,0,1828,2420,Incr. via Bandiera,12.045567,45.417713,12.05337,45.418423,12.045567,45.417713
3,2415,3,2420,60.0,"{'496': 1, '541': 1, '540': 1}",1,0,1828,2420,Incr. via Bandiera,12.045567,45.417713,12.052273,45.417496,12.045567,45.417713
74,2423,3,2421,60.0,"{'383': 1, '401': 4, '539': 1, '381': 6, '409': 2, '388': 2, '400': 1, '635': 1, '385': 1, '386': 2, '380': 2, '403': 1, '387': 1, '390': 1, '379': 22, '408': 1, '382': 14, '399': 1, '445': 1, '478': 1, '389': 2, '402': 1, '384': 2, '538': 1, '405': 1, '565': 1}",1,0,1829,2421,Incr. via Bandiera,12.045483,45.41787,12.034814,45.416962,12.045483,45.41787
2,2416,3,2422,180.0,"{'357': 1, '376': 1}",1,0,1830,2422,Fiesso D' Artico,12.034814,45.416752,12.060034,45.418938,12.034814,45.416752
66,2420,3,2422,60.90909090909091,"{'358': 6, '541': 1, '356': 6, '496': 1, '370': 7, '540': 1, '550': 1, '636': 1, '352': 15, '354': 21, '360': 2, '359': 1, '549': 1, '355': 2}",1,0,1830,2422,Fiesso D' Artico,12.034814,45.416752,12.045567,45.417713,12.034814,45.416752
74,2424,3,2423,60.0,"{'383': 1, '401': 4, '539': 1, '381': 6, '409': 2, '388': 2, '400': 1, '635': 1, '385': 1, '386': 2, '380': 2, '403': 1, '387': 1, '390': 1, '379': 22, '408': 1, '382': 14, '399': 1, '445': 1, '478': 1, '389': 2, '402': 1, '384': 2, '538': 1, '405': 1, '565': 1}",1,0,1831,2423,Fiesso D' Artico,12.034814,45.416962,12.025122,45.416389,12.034814,45.416962
74,1709,3,2424,60.0,"{'383': 1, '401': 4, '539': 1, '381': 6, '409': 2, '388': 2, '400': 1, '635': 1, '385': 1, '386': 2, '380': 2, '403': 1, '387': 1, '390': 1, '379': 22, '408': 1, '382': 14, '399': 1, '445': 1, '478': 1, '389': 2, '402': 1, '384': 2, '538': 1, '405': 1, '565': 1}",1,0,1832,2424,Casa Cantoniera Anas,12.025122,45.416389,12.017199,45.412716,12.025122,45.416389
68,2422,3,2425,59.11764705882353,"{'358': 6, '541': 1, '549': 1, '356': 6, '496': 1, '370': 7, '376': 1, '550': 1, '636': 1, '352': 15, '354': 21, '360': 2, '359': 1, '540': 1, '357': 1, '355': 2}",1,0,1833,2425,Casa Cantoniera Anas,12.02534,45.416248,12.034814,45.416752,12.02534,45.416248
1,1056,3,2426,60.0,{'635': 1},1,0,1834,2426,Civico 170,12.039575,45.405853,12.051648,45.399258,12.039575,45.405853
6,2410,3,2426,120.0,{'442': 6},1,0,1834,2426,Civico 170,12.039575,45.405853,12.051836,45.40876,12.039575,45.405853
5,2428,3,2427,60.0,"{'636': 1, '439': 1, '440': 2, '441': 1}",1,0,1835,2427,Civico 170,12.039568,45.406055,12.029056,45.407146,12.039568,45.406055
5,2430,3,2428,60.0,"{'636': 1, '439': 1, '440': 2, '441': 1}",1,0,1836,2428,"Tratt. ""Prandin""",12.029056,45.407146,12.019076,45.404434,12.029056,45.407146
7,2426,3,2429,60.0,"{'442': 6, '635': 1}",1,0,1837,2429,"Tratt. ""Prandin""",12.029053,45.406979,12.039575,45.405853,12.029053,45.406979
5,2432,3,2430,48.0,"{'636': 1, '439': 1, '440': 2, '441': 1}",1,0,1838,2430,via Pertile,12.019076,45.404434,12.015689,45.405163,12.019076,45.404434
7,2429,3,2431,60.0,"{'442': 6, '635': 1}",1,0,1839,2431,via Pertile,12.019219,45.40432,12.029053,45.406979,12.019219,45.40432
5,313,3,2432,12.0,"{'636': 1, '439': 1, '440': 2, '441': 1}",1,0,1840,2432,P.tta S. Pietro,12.015689,45.405163,12.013106,45.407398,12.015689,45.405163
7,2431,3,2433,8.571428571428571,"{'442': 6, '635': 1}",1,0,1841,2433,P.tta S. Pietro,12.015465,45.405052,12.019219,45.40432,12.015465,45.405052
7,2433,3,2434,60.0,"{'442': 6, '635': 1}",1,0,1842,2434,Fronte Villa Pisani,12.013207,45.407249,12.015465,45.405052,12.013207,45.407249
5,410,3,2457,60.0,{'651': 5},1,0,1843,2457,Incr. via Parise,12.074752,45.43417,12.07448,45.428783,12.074752,45.43417
33,2460,3,2457,116.36363636363636,"{'535': 2, '547': 13, '537': 2, '534': 10, '533': 2, '531': 1, '548': 1, '546': 1, '536': 1}",1,0,1843,2457,Incr. via Parise,12.074752,45.43417,12.074502,45.425991,12.074752,45.43417
30,2461,3,2458,60.0,"{'545': 1, '527': 1, '525': 2, '544': 2, '528': 11, '529': 1, '543': 1, '542': 8, '644': 3}",1,0,1844,2458,Incr. via Parise,12.074988,45.434555,12.074393,45.439095,12.074988,45.434555
27,2458,3,2459,60.0,"{'545': 1, '527': 1, '525': 2, '544': 2, '528': 11, '529': 1, '542': 8, '543': 1}",1,0,1845,2459,Dolo Municipio,12.074677,45.426273,12.074988,45.434555,12.074677,45.426273
3,2313,3,2460,60.0,"{'531': 1, '548': 1, '546': 1}",1,0,1846,2460,Dolo Municipio,12.074502,45.425991,12.08131,45.425579,12.074502,45.425991
30,2419,3,2460,50.0,"{'535': 2, '547': 13, '537': 2, '534': 10, '533': 2, '536': 1}",1,0,1846,2460,Dolo Municipio,12.074502,45.425991,12.074477,45.423615,12.074502,45.425991
